id,original,augmented,functionality,range_anxiety,availability,cost,ui,location,service_time,dealership
17,"5/7/2014 got there at 4:30pm, Quick Charge broke.  Level-2 charge broke.

Went inside to service department, they can't do anything to help me.  They say they don't maintain the device, the tech that maintains it, aren't there.

I purchase a brand new Nissan from them just days ago and although the sales was great, very helpful, very patience, great price but the Service Department could use some improvement.","7 / 5 / 2014 arrived at 16: 30, Quick Charge broke. Level 2 Charge Broke.Went to the service department, they can do nothing to help me. They say they do not service the device, the technology that maintains it is not there. I bought a brand new Nissan from them a few days ago and although the sale was great, very helpful, very patient, great price, but the service department could use some improvements.",1,0,0,0,0,0,0,1
18,very friendly and moved dealer vehicle for me,very friendly and mobile dealer vehicle for me,0,0,0,0,0,1,0,1
19,Property owner gave me a tour of his soup factory while I charged. Very nice fellow. Seemed interested in EVs.,The owner gave me a tour of his soup factory while I was recharging. Very nice guy. Apparently interested in electric vehicles.,0,0,0,0,0,1,0,0
20,Stall #1 charged at 140 miles per hr.,Stand 1 is charged at 140 miles per hour.,0,0,0,0,0,0,1,0
21,very empty lot although its just about lunch time. finally though!,"very empty property, although it is just around noon. Finally, however!",0,0,1,0,0,0,0,0
22,"Plugged in right behind the Fatburger stand. I'm only charging for a couple hours, message me if you need my spot. Thanks Fatburger and Next Level!","I only charge a few hours, contact me if you need my space. Thanks Fatburger and Next Level!",0,0,0,0,1,0,0,0
23,"Yesterday from 3:10 to 4:10 no stations available.  At 4:15, one station available.

Today at 5:00 no stations available.  At 5:55 all three stations (in front) available.","Yesterday from 3: 10 am to 4: 10 am no channels available, at 4: 15 am one channel available.Today at 5: 00 am no channels available, at 5: 55 am all three channels (front) available.",0,0,1,0,0,0,0,0
24,"EVSE installed, but not powered up or activated yet. Only Chademo connector in evse.","EVSE installed, but not yet enabled or activated. Only Chademo connection in evse.",1,0,0,0,0,0,0,0
25,"Charged briefly on Friday, April 11.  One of the spots was blocked by a car...there is no signage about EV parking only.  ","Charged briefly on Friday, April 11. One of the bodies was blocked by a car... there is no signage only for campers.",0,0,1,0,0,0,0,0
26,"Here every Tuesday, remember to use you charge point app here... My car is charged and I stop it remotely, only like a $2 and change charge. If you don't it goes to like $5 because it charges you even when you are done charging ","Here every Tuesday, remember to use your charging point app here... My car gets recharged and I stop it remotely, just like a $2 and change the charge. If you don't, it costs $5 because it charges you even when you're done charging.",1,0,0,1,0,0,0,0
27,Card reader is not working,Card reader does not work,1,0,0,0,0,0,0,0
28,http://gas2.org/2014/08/20/electric-car-etiquette-just-got-musked,http: / / gas2.org / 2014 / 08 / 20 / electric-car-etiquette-just-botched,0,0,0,0,1,0,0,0
29,Not working yet. Power is on but doors for charging cords are locked. Looks like it will be a pay system but no details provided on charger.,"The power is on, but the doors for the charging cables are locked. Looks like it is a payment system, but no details on the charger.",1,0,0,0,0,0,0,0
30,"Charged yesterday. The 4 spots furthest from the platform are open to anyone, despite most assigned spots being empty usually.   fully charged in just under 2 hours. wish they would leave the lot open on the weekends since it is a very convenient location. ","The 4 seats furthest from the platform are open to everyone, although most allocated seats are usually empty. Fully charged in just under 2 hours. I wish they would leave the property open on weekends as it is a very convenient location.",0,0,1,0,0,1,1,0
31,Charger is working great now.,Charger works great now.,1,0,0,0,0,0,0,0
32,wild fire dropping ash on all the new cars...and us.,wild fire that casts ashes on all new cars... and on us.,0,0,0,0,0,1,0,0
33,QC working great,QC does a great job,1,0,0,0,0,0,0,0
34,Prius plugin only goes 11mi (max) in ev mode and considerate owners understand that there is a hierarchy to public charging stations. ,"The Prius only drives a maximum of 11 miles in ev mode, and considerate owners know there is a hierarchy at public charging stations.",0,0,0,0,1,0,0,0
35,One spot iced. ,A patch of ice.,0,0,1,0,0,0,0,0
36,Sales rep reported that a customer broke the handle in the quick charger this week.,Sales staff reported that a customer broke the handle of the fast charger this week.,1,0,0,0,0,0,0,0
37,OK to unplug at 12:00 PM.,"OK, switch off at 12: 00.",0,0,0,0,1,0,0,0
38,CCS combo disabled,CCS combo disabled,1,0,0,0,0,0,0,0
39,"Hey, nice Tesla, guy with the gray P85D (WA #ATH7982)! If you don't plan to charge, why not park somewhere else, instead of block a marked EV spot?","Hello, nice Tesla, guy with the gray P85D (WA # ATH7982)! If you're not planning to recharge, why not park somewhere else instead of blocking a marked EV spot?",0,0,1,0,1,0,0,0
40,Silver Leaf,Silver leaf,0,0,0,0,0,0,0,1
41,Needed call to AVI to reboot ,Required call of AVI to restart,1,0,0,0,0,0,0,0
42,Great location and nice place to eat,Great location and nice place to eat,0,0,0,0,0,1,0,0
43,"208V x 40A, 14-50 outlet,desk clerk not aware of outlet, manager Matt allowed use.  As you walk out of lobby turn left and look for small building next to hotel that has outlet.  Parking blocked with small cones to save space.","208V x 40A, 14-50 socket, desk switch without socket, manager Matt allowed use. When leaving the lobby turn left and look for a small building next to the hotel that has socket. Parking is blocked with small cones to save space.",0,0,0,0,0,1,1,0
44,Station is a bit hard to find - look for a small Power Trip sign. What a great resource - saved us in a pinch!!,Station is a bit hard to find - watch out for a small power trip sign. What a great resource - saved us in a pinch!!,0,0,0,0,0,1,0,0
45,Just looking,Just take a look,0,0,0,0,1,0,0,0
46,2 day RV Space rental - charged no problem. Fee for day was ~$22/day. Expensive electricity but I was there for an automotive event - so it worked for me.,"2 days RV park rental - no problem. Fee per day was about $22 / day. Expensive electricity, but I was there for an automobile event - so it worked for me.",1,0,0,1,0,1,0,0
47,It's a private station. Pffffff (French ),It is a private station. Pffffff (French),0,0,0,0,0,1,0,0
48,"Blink Chadmo / PGE is STILL down... Reports show been down for a while, dammit. now charging at the level 2 - only 1, btw.","Blink Chadmo / PGE is STILL down... Reports show it's been going down for a while, damn it.",1,0,0,0,0,0,0,0
49,"Dealership wanted to charge $8 per charge, that is not what nissan usa had agreed with the stealership, this dealership seem greedy to me, and not very responsive to leaf owner needs","Dealer wanted to charge $8 per load, this is not what Nissan USA had agreed with the stealership, this dealer seems greedy to me and not very receptive to the needs of the leaf owner",0,0,0,1,0,0,0,1
50,"Charged at 10:00 last night, just enough to get home. Now both  stations are available.  The small utility ev that had been parked at one of them for months has been moved to the other side of the building.  My thanks to MST  groundskeeping.","Charged last night at 10: 00 am, just enough to get home. Now, both stations are available. The small supply vehicle, which had been parked at one of them for months, was moved to the other side of the building.",1,1,1,0,0,1,0,0
51,Actually There are 4 charging station. Charged 8kw great. There is the old spaghetti house right around the corner.,There are actually 4 charging stations. Charged 8kW super. There is the old Spaghetti House just around the corner.,1,0,1,0,0,1,1,0
52,Error after a few min charging. ,Error after a few minutes of charging time.,1,0,0,0,0,0,0,0
53,I've written suggesting they relocate the handicap space. Would be good if others do the same. ,"I have written that they should relocate the disabled area, and it would be good if others did the same.",0,0,0,0,0,1,0,0
54,DCFC timed out trying to communicate with my Spark EV. L2 chargers ICE'd,DCFC Timeout tries to communicate with my Spark EV. L2 Chargers ICE'd,1,0,1,0,0,0,0,0
55,Took a while to find a space near a plug but I was successful!,"It took a while to find a place near a plug, but I was successful!",1,0,1,0,0,0,0,0
56,Great spot!  Love using Pay with PkugShare.  So easy. ,Great place! Love with Pay with PkugShare. So easy.,1,0,0,0,0,1,0,0
57,working great!,It works great!,1,0,0,0,0,0,0,0
58,Used it on Sunday @ 4:30- 6:00PMPM.  Went well. I had an hour to kill so I charged up my Volt.  Read a book in the car becuase the Library closed at 5:00PM.     The price was $3 per session.  We'll see how it shows up on the credit Card.  ,"I had an hour to kill, so I charged my Volt. Read a book in the car because the library closed at 5: 00 p.m. The price was $3 per session. We'll see how it appears on the credit card.",1,0,0,1,0,1,1,0
59,same vehicle problem for my 2013 leaf on the 440v quick charger. attached photos ahowing error.,Same vehicle problem for my 2013 sheet on the 440v fast charger. Attached photos of a fault.,1,0,0,0,1,0,0,1
60,correction. neither are charging. thought blinking meant charging. come to find out it's full. the other doesn't have the light on the dash on at all.,Correction. neither charges. Mind blink meant charging. Come to find out if it is full. The other has no light on at all on the dashboard.,1,0,1,0,0,0,0,0
61,"Gajanan - you had a full charge after 2.5 hours (I doubt while shopping at Kohl's for this long), so yeah, it was ok to unplug you. Not ok to leave it sitting there for so long, taking up the spot and on the full charge... Ultimate insult.","Gajanan - You had a full charge after 2.5 hours (I doubt you bought cabbage for that long), so yes, it was okay to switch you off. Not okay to leave it there for that long, take the seat and charge the full charge... ultimate insult.",0,0,1,0,1,0,0,0
62,"I spoke with DWP's current maintenance contact about this charger today. They know there is an issue (missing pin from the plug) and are waiting on the vendor (Nissan I guess) to get out there to fix it.

He said this week LADWP has internal meetings to start having a dedicated person to manage maintenance for LADWP chargers, which would hopefully include a maintenance contact with Nissan so issues will be fixed more promptly.

If you do use this number, please be courteous and know that he is NOT the one fixing these issues, but he is helping coordinate maintenance and ultimately a maintenance contract with Nissan. He was very informative and I thanked him for the info!

Ruslan Sibagatullin
213 367 4850","I spoke today with the current maintenance contact from DWP about this charger. You know there is a problem (missing pin on the plug) and are waiting for the salesman (Nissan, I suspect) to fix it. He said that LADWP is holding internal meetings this week to start with a dedicated person for the maintenance of LADWP chargers, who will hopefully get a maintenance contact with Nissan so that problems can be fixed faster. If you are using this number, please be polite and know that he is NOT the one to fix these problems, but he is helping to coordinate the maintenance and ultimately a maintenance contract with Nissan. He was very informative and I thanked him for the information! Ruslan Sibagatullin213 367 4850",0,0,0,0,1,0,0,0
63,"The app says the quick charger is ""in use."" Not so. When I got there yesterday, it wouldn't activate. I called the support number and was told it was ""offline."" No info and when that would change. Ended up sitting there a lot longer than anticipated.","The app says that the quick charger is ""in use."" No. When I arrived there yesterday, it was not activated. I called the support number and was told that it was ""offline."" No information and when this would change.",1,0,0,0,0,0,0,0
64,Both L2 chargers occupied ,Both L2 chargers occupied,1,0,1,0,0,0,0,0
65,Great place to charge,Great place to recharge,0,0,0,0,0,1,0,0
66,Charging on my way back to Lithonia.,Charging on the way back to Lithuania.,0,1,0,0,0,0,0,0
67,"For instant access, either dial 1-800-663-5633 anytime <OR> visit www.semacharge.com on your smartphone.  Once completed, ask for a smart-card for future, easier access. ","For instant access, dial either 1-800-663-5633 anytime < OR > visit www.semacharge.com on your smartphone.",1,0,0,0,1,0,0,0
68,"A Tesla owner unplugged my charge, such ass","A Tesla owner pulled my load off, such an ass",0,0,0,0,1,0,0,1
69,"One Blink was functional, one was dead.  Address and map location are good.","One blink worked, one was dead. Address and map position are good.",1,0,1,0,0,1,0,0
70,"We're sorry but our DCFC looks broken again. Now under inspection by charger provider. Thank you, -NRCSV","We are sorry, but our DCFC looks broken again. Now it is inspected by the charger provider. Thanks, -NRCSV",1,0,0,0,0,0,0,0
71,low 5  kw all 3 seem to work ok. the one on the left has a bad touch screen but started right up after 20 seconds. ,low 5 kw all 3 seem to work. The one on the left has a bad touch screen but is booted up after 20 seconds.,1,1,0,0,0,0,1,0
72,"Plugged in a black leaf , before leaving. ","Before departure, a black sheet is inserted.",0,0,0,0,1,0,0,1
73,North facing charger works fine charges at 6.6 W,Charger with north orientation works with 6.6 W,1,0,0,0,0,0,1,0
74,"Please note, this is not a Nissan No Charge to Charge station.  You will be charged the full rate.",Please note that this is not a Nissan No Charge to Charge station. You will be charged the full price.,0,0,0,1,1,0,0,1
75,Tesla 10 chargers now. I used the newer? pull~in forward type. 262 mi/hr. All good,Tesla 10 chargers now. I used the newer? pull ~ in forward type. 262 mi / h. All good,0,0,0,0,0,0,1,1
76,"My first supercharger! Coming back from Baltimore and didn't NEED to charge, but why not?! Used stall 2B and was the only Tesla there. Charged at 263 amps, 375 volts for peak of 360 miles per hour. WOW! So cool! Supercharges are basically right in front of the service center on the southbound side of 95.","My first supercharger! When I came back from Baltimore and didn't need a charge, but why not?! Used booth 2B and was the only Tesla there. Charged at 263 amps, 375 volts for top speeds of 360 miles per hour. WOW! So cool! Charges are basically right outside the service center on the south side of 95.",1,1,0,0,0,0,1,0
77,The #2 240V charger on the east side of garage only charged @16amps. #1 charger fine (208v/30a),The 240V charger # 2 on the east side of the garage charges only at 16amps. # 1 charger good (208v / 30a),1,0,0,0,0,1,1,0
78,a little too secluded for late night charging for my taste. good location during business hours though,a bit too remote for late night recharging for my taste. good location during business hours though,0,0,0,0,0,1,0,0
79,great place to grab a charge if you are visiting the museums. about a ten min. walk away but parking is much cheaper.,"Great place to collect a fee when you visit the museums. About ten minutes walk away, but parking is much cheaper.",0,0,0,0,0,1,0,0
80,both QC appear to be working. charged on left one.,Both QC seem to be functioning. Charged on the left.,1,0,0,0,0,0,0,0
81,"Peak charging power: 30 amps, 240 volts","Peak charging power: 30 Ampere, 240 Volt",1,0,0,0,0,0,0,0
82,There are 4 coulomb ChargePoint J-1772 units here. Database is outdated.,There are 4 Coulomb ChargePoint J-1772 units. The database is outdated.,1,0,1,0,0,1,0,0
83,working great. Ben did you enable charger per the instructions? ,works great. Have you activated charger according to the instructions?,0,0,0,0,1,0,0,0
84,I'm climbing around the corner while my car charges. Feel free to unplug me if you need to. :),I'm climbing around the corner while my car is recharged. Feel free to unplug me if you need it.:),0,0,0,0,1,0,0,0
85,This location continues to have the overheat issue.  ,The problem of overheating persists at this site.,1,0,0,0,0,0,0,0
86,"If you're in a bind, talk to a service agent and they are nice enough to give you a boost.  Can't fully charge my Fiat but they are kind enough to let me sit here so I can get back home _x1f60a_","If you are stuck in the terminal, talk to a service member and he is nice enough to give you a boost. I can't fully charge my Fiat, but he is kind enough to let me sit here so I can get home. _ x1f60a _",1,1,0,0,0,0,0,1
87,Western Minnesota road trip!,Western Minnesota Road Trip!,0,1,0,0,0,0,0,0
88,"I charge here once a month or so when I take Amtrak. Generally not ICE'd, and usually in good working order. ",I charge here about once a month when I take Amtrak. Generally not on the ICE and usually in good condition.,1,0,1,0,0,0,0,0
89,"When I got here there was a Tesla charging. I plugged in my rav4 but after about 15 minutes I got a notification that the charge stopped. I then ran into a guy who had this station MELT the inlet on his Rav. Apparently, they then added thermal monitoring that shuts it down. So don't charge your Rav here!","When I got here, there was a Tesla charge. I connected my Rav4, but after about 15 minutes, I received a notification that the charge stopped. I then met a guy who had this station's intake port of his Rav MELT. Apparently, they then added a thermal monitor that shut him off. So don't charge your Rav here!",1,0,0,0,0,0,0,0
90,"Touch screens are dirty and intermittent even within the same sequence or session. Right L3 stopped at 40% and would not start again in 3 tries. L L2 buzzes all day, R L2 screen is out. What kinds of companies are these, Blink and Larry Miller Toyota, to leave their 220V and 500V equipment out of order?","Touchscreens are dirty and intermittent, even within the same sequence or session. Right L3 stopped at 40% and would not restart in 3 attempts. L L2 is buzzing all day, R L2 screen is out. What kind of companies are these to let Toyota Blink and Larry Miller shut down their 220V and 500V devices?",1,0,0,0,0,0,0,0
91,"Called to start the quick charger and the technician told me the charger is now off-line and they cannot even activate it by phone. I asked them to update the electronic information so people are not driving to this, thinking they will get a charge.","I called to start the quick charger, and the technician told me that the charger was now offline and they could not even activate it by phone. I asked them to update the electronic information so that people would not drive towards it, thinking they would get a fee.",1,0,0,0,0,0,0,0
92,"Charging in the rain should be more or less safe as these units have ground fault protection built-in. Still, I'm not fully comfortable doing it.","Charging in the rain should be more or less safe, as these devices have built-in ground disturbance protection. Nevertheless, I am not entirely comfortable with this.",0,0,0,0,1,0,0,0
93,Accessible 24 hours!,Available around the clock!,0,0,0,0,0,1,0,0
94,Station #2 would not charge. Called Charge-point they said not on line yet,"Station 2 would not be charged. Described as a charging station, they said not yet online",1,0,0,0,0,0,0,0
95,Charging at 187 mph even with all four stations filled for Thanksgiving rush,"Charging at 187 km / h, even if all four stations are filled for the Thanksgiving rush",0,0,0,0,0,0,1,0
96,Iced,Iced,0,0,1,0,0,0,0,0
97,"The inconciderate user finally came,  I wish everyone will wrap up the cord after  charging and remove the car on time for the next car. ","The impenetrable user finally arrived, I wish everyone would wrap the cord after loading and remove the car in time for the next car.",0,0,0,0,1,0,0,0
98,"Please note this is only a 20 KW output charger due to the panel size not allowing a larger breaker. But, I am glad your Tesla is charging well with the tesla adaptor.","Please note that it is only a 20 KW charger, as the panel does not allow a larger circuit breaker, but I am glad that your Tesla charges well with the Tesla adapter.",0,0,0,0,0,0,1,0
99,"There is a Level 2 EV plug, just not next to the fast chargers, a few spots down from it.","There is a Level 2 EV plug, just not next to the quick chargers, a few places further.",1,0,0,0,0,1,0,0
100,Charger is in the back on the further most service bay to the right on the wall just inside the bay.  Plugged in and started charging right away. ,The charger is located at the rear of the furthest service bridge on the right-hand side of the wall directly inside the bay. Switched on and started charging immediately.,1,0,0,0,0,1,0,0
101,"Every Charger was Iced. I parked in the only open charger ""a reserved spot"" plugged in and paid the $2 fee. Someone came over and said you cant park there. The valet people had to move an ice so that I could park. They have 8 chargers, 7 usable, but they are all ice blocked","Every charger was iced. I parked in the only open charger ""in a reserved place"" and paid the fee of $2. Someone passed by and said that you could not park there. The servant had to move an ice so that I could park. They have 8 chargers, 7 usable, but they are all ice-blocked.",0,0,1,1,0,0,0,0
102,"horrible etiquette. car is using the quick charger but the charge is done the people are nowhere to be found and it's in the locked position so I can't just unplug it and use it. USE A TIMER, COME BACK ON TIME!! Leaf, CA 7DHD824","terrible label. Car uses the fast charger, but the charge is done, people are nowhere to be found and it is in the locked position, so I can not just pull it off and use it.",0,0,0,0,1,0,0,0
103,"Arrived with 189 miles left in the battery (thus, not much room to see the fast charging). Seeing 172 mi/hr charging rate on station 1B. It's a good thing Christie signed the deal letting Zero-Emissions vendors to sell direct; given how much inventory is sitting here at this sales/service location. :-D","Arrived with 189 miles in the battery (so not much room to see the fast charge). See 172 miles per hour charging speed at Station 1B. It's a good thing that Christie has signed the agreement that allows zero-emission sellers to sell directly, given how much inventory there is here at this sales / service location.: -D",0,0,0,0,0,0,1,0
104,"We went to the Zoo today and fortunately there were two plugs open. But, when we returned there were regular cars parked in all the other slots except 1. I think the gas guzzlers that were parked in those spaces should be ticketed. If I needed the plug, I would have double parked in back of the car and left my telephone number on their windshield to call me when they wanted to leave. I know parking is at a premium at the zoo but come on people I know you can read!!!!!","We went to the zoo today and luckily two plugs were open, but when we came back normal cars were parked in all other slots except 1. I think the gas guzzlers parked in these rooms should be given a ticket. If I had used the plug, I would have parked twice behind the car and left my phone number on the windscreen to call me if they wanted to leave. I know that parking at the zoo is expensive, but come across people I know you can read!!!!!",1,0,1,0,1,1,0,0
105,"Used left side of QC. New, easier to use CHAdeMO connectors on both sides of QC!","Used left side of QC. New, easier to use CHAdeMO connectors on both sides of QC!",1,0,0,0,0,0,0,0
106,This place needs more charging stations. The only one here is always in use.,"This place needs more charging stations, the only one here is always in operation.",0,0,1,0,0,0,0,0
107,Out of Order.,Not right.,1,0,0,0,0,0,0,0
108,See http://romeoville.patch.com/articles/kohls-adding-more-electric-car-charging-stations | ,See http: / / romeoville.patch.com / articles / kohls-add-more-electric-car-charging-stations |,0,0,0,0,1,0,0,0
109,"really nice folks. I recharged my motorcycle there, no cost!","I recharged my motorcycle there, at no cost!",1,0,0,0,0,1,0,0
110,It's not free. They rip you off at the flight line or with tuition. :) - A former Riddle Diddle Student.,They tear you off at the airline or with tutoring.:) - A former student of puzzles.,0,0,0,1,0,0,0,0
111,Broken and missing screen,Broken and missing disc,1,0,0,0,0,0,0,0
112,Respect to the 80% etiquette rule is HIGH at this location _x1f44c_ Loooove charging here.  Thank u ,Compliance with the 80% etiquette rule is at this point HIGH _ x1f44c _ Loooove loading here. Thank you.,0,0,0,0,1,0,0,0
113,Error indicator. Turned off then on and did not clear,error message. Then switched on and did not delete,1,0,0,0,0,0,0,0
114,"Nice setup, all led lighting, reliable chargepoint chargers. Good signs to help you find the chargers. Well done","Beautiful setup, LED lighting, reliable charging points. Good hints to help you find the chargers. Well done",0,0,0,0,0,1,0,0
115,sitting at the couches in the mall. message me if you need to reach me,Sitting on the sofas in the shopping mall. Contact me if you want to reach me,0,0,0,0,1,0,0,0
116,"Had to throw the circuit breaker on the wall to clear the alarm light, then was able to charge","Had to throw the circuit breaker against the wall to extinguish the alarm light, could then recharge",1,0,0,0,0,0,0,0
117,Charger is down.,The charger failed.,1,0,0,0,0,0,0,0
118,Please plug me in when available. Thanks so much. Blaise,Please plug me in when you are available. Thank you. Blaise,0,0,0,0,1,0,0,0
119,Here's to hoping the mystery box is a dual CCS/Chademo charger. My spark would love to use it! ,Here is to hope that the Mystery Box is a dual CCS / Chademo charger. My spark would like to use it!,1,0,0,0,0,0,0,0
120,"*Not-public, for employee or business visitor use only. | Ten level 2 j1772 and one level 3 CHAdeMO, Blink RFID card required, fee: Blink account rates, located on first floor of employee parking structure, on inside left of entrance. ","* Not public, for employees or business visitors only. | Ten Levels 2 y1772 and one Level 3 CHAdeMO, Blink RFID card required, Fee: Blink account fees, located on the first floor of the employee parking structure, left of the entrance.",1,0,1,1,0,1,0,0
121,Flat $2/hour. Can pay with credit card right at the machine. No charge for parking but only available 9-5pm when museum is open. Closed on Tuesdays and Christmas. 4 chargers all functional. Parking row closest to the museum in the staff parking lot,"Flat $2 / hour. Can be paid by credit card directly at the vending machine. No parking fees, but only available from 9pm-5pm when the museum is open. Closed on Tuesdays and Christmas. 4 chargers all working.",0,0,0,0,0,1,0,0
122,SAE working perfect,SAE works perfectly,1,0,0,0,0,0,0,0
123,One charger was offline. The other couldn't read my card and couldn't process a guest code.,"One charger was offline, the other could not read my card and could not process a guest code.",1,0,0,0,0,0,0,0
124,"I added this station to Plugshare. I haven't had a chance to charge here since.  I'm glad it's available.  I will be here for an hour, thank you.","I have added this station to plugshare. Since then, I have had no chance to load here. I am glad that it is available. I will be here for an hour, thank you.",0,0,0,0,1,0,0,0
125,L2 charge is all good,L2 charging is all good,1,0,0,0,0,0,0,0
126,Tesla Model S charges at 19mph.,Tesla Model S charges at 19km / h.,0,0,0,0,0,0,1,1
127,charging at the outlet mall but 1 mile to the casino,"Charge at Outlet Mall, but 1 Mile to Casino",0,0,0,0,0,1,0,0
128,2/5/14 stations clear of snow and light working.,2 / 5 / 14 Stations working free of snow and light.,0,0,0,0,1,1,0,0
129,"Station ""offline"" and unavailable. Great! Now my mother-in-law and I are stranded. I'll never trust these guys again.","Station ""offline"" and unavailable. Great! Now my mother-in-law and I are stranded. I will never trust these guys again.",1,1,0,0,0,0,0,0
130,Out of order. :(,Not right.: (,1,0,0,0,0,0,0,0
131,"Left side cannot start charging after autherized. The ""next"" button is not responding. 9/4/15","The left side cannot start loading after authorization, the ""next"" button does not respond. 9 / 4 / 15",1,0,0,0,0,0,0,0
132,Unable to charge. Power is on but unit is not active on network yet. ,"Cannot be charged. Power is on, but the unit is not yet active in the network.",1,0,0,0,0,0,0,0
133,"Drove 60 miles here from Manassas on the assumption the charger would give us enough charge to return 60 miles. Wrong!! First time in a year of owning this Leaf where I was in a position of where I might not make it home, at least not on the schedule I planned. The Leaf is now on the 220 charger at this no-excuse Nissan dealership. Call ahead and beware I guess.","Wrong!! For the first time in a year that I owned this Leaf, I was in a position where I might not make it home, at least not according to the schedule I had planned. The Leaf is now on the 220 charger of this inexcusable Nissan dealer. Call ahead and be careful, I think.",0,1,0,0,0,0,0,1
134,"The last three times I have been here, someone is always ICE'ing one of the two chargers. Uncool. Luckily, I've been able to charge at the free one each time.","The last three times I have been here, there is always someone with one of the two chargers in the ICE. Uncool. Fortunately, I was able to charge for free each time.",1,0,1,0,0,0,0,0
135,$1 for a 30 minute quick charge!,$1 for a 30-minute fast charge!,0,0,0,1,0,0,1,0
